depth,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb,LE
7.5,25912.86,208125.06,,7227.49,93552.82,1359.66,251.83,17970.52,18.65,23.26,5.93,52.67,193.59,7.94,48.17,7.96,9.73,645231.86
7.8,23768.88,178556.12,574.95,5958.29,110204.92,1553.35,240.86,18293.18,21.65,26.98,,40.78,211.59,10.62,77.96,,12.01,660447.86
8.1,31562.13,181410.17,480.69,6619.39,128100.06,1695.51,350.49,19803.34,15,28.23,5.69,43.97,243.43,8.43,75.05,,10.53,618373.73
8.4,27392.59,197524,277.73,6641.08,120610.97,2270.25,281.97,20442.47,25.03,29.17,,48.68,235,11.94,82.18,,10.7,624024.78
8.7,24994.47,158715.89,514.83,6841.29,118747.72,2035.12,318.48,20218.71,21.98,28.9,7.74,46.58,248.15,13.39,108.68,8.83,11.38,667052.86
9,26908.29,182973.29,785.49,6957.17,118944.44,1634.03,257.14,18911.54,,29.1,7.36,46.75,233.27,7.21,66.89,,,642238.05
9.6,26631.94,149688.04,438.22,6598.18,131702.64,2249.62,325.32,22083.91,17.05,35.04,9.79,48.72,295.3,14.33,103.37,9.93,13.45,659707.89
9.9,26096.77,140287.66,249.29,6860.73,132479.83,2354.3,412.41,19974.06,29.76,42.72,9.52,48.23,271.85,15.5,123.85,10.59,10.06,670672.28
10.2,39698.32,135879.86,987.01,9608,132314.32,2404.5,318.64,21161.99,23.93,34.8,,52.9,262.36,14.23,110.01,14.39,16.56,657098.18
10.5,31981.34,158190.36,206.61,6667,132783.3,2014.34,326.03,20083.33,20.37,36.75,6.35,46.29,289.34,13.18,109.3,,14.58,647187.65
10.8,34684.16,132099.84,511.27,9015.84,129410.11,2349.92,322.38,22413.83,29.42,40.51,9.06,54.91,274.41,14.31,108.8,12.45,10.48,668586.77
11.1,29839.73,155086.37,320.86,7233.04,148391.94,2186.43,405.63,19041.55,24.9,30.42,7.65,48.09,279.5,14.58,104.67,9.9,10.73,636964
11.4,39050.33,149162.09,490.67,8585.58,134145.36,2299.49,390.82,23131.25,18.85,36.13,10.19,52.86,294.05,12.94,127.61,11.23,11.71,642148.53
11.7,44759.67,181963.65,332.63,8372.82,150414.42,2766.46,417.34,22713.79,19.69,42.4,11.58,56.41,299.87,14.32,130.84,7.85,10.46,587297.55
12,36452.1,161973.43,527.88,9060.4,142561.6,2671.52,954.04,25619.92,26.87,46.86,11.88,59.96,309.81,17.8,130.16,13.13,14.44,619518.62
12.6,77185.91,171370.71,408.73,17778.17,107255.44,2891.56,401.39,39449.3,34.31,74.74,8.64,105.71,251.21,15.76,71.94,12.43,20.9,569346.18
12.9,59613.52,161324.52,704.87,14133.32,143265.06,2492.34,371.69,31243.38,25.12,56.81,16.52,87.59,298.43,16.52,88.67,12.47,14.12,575471.81
13.2,57343.96,160162.59,1269.45,14633.35,123165.65,2879.7,439.97,27556.07,24.99,54.5,19.32,82.39,265.52,18.83,164.12,16.6,10.74,596135.31
13.5,29408.48,141984.52,350.29,8011.33,137529.89,2084.61,432.92,20172.08,37.91,42.1,12.33,47.71,285.06,16.35,143.3,12.68,,659428.46
13.8,39213.53,128514.45,292.83,11549.28,124229.01,2694.95,397.59,26775.26,24.99,49.59,14.34,73.77,255.55,19.31,147.73,16.51,14.77,665716.54
14.1,65517.95,162805.09,387.04,15676.23,130529.06,2224.54,320.63,29006.23,19.77,64.59,8.73,87.48,269.73,16.9,82.7,9.09,16.08,580489.32
14.4,64463.87,155452.64,508.99,14244.55,127352.46,2567.57,399.95,32031.84,37.78,62.9,15.42,81.58,263.47,19.43,82.78,6.62,13.57,601801.98
14.7,63185.83,159516.49,1820.49,15263.97,129284.05,3018.21,634.93,34434.47,29.39,75.42,11,93.07,254.29,14.67,86.62,11.47,16.59,591502.68
15,65900.04,162362.97,453.21,16537.58,133552.86,2721.68,445.09,34761.09,38.02,71.48,,98.42,289.37,16.87,78.95,13.01,17.52,582308.16
15.3,48736.55,174086.6,1228.92,10247.2,145483.62,2442.82,421.94,23027.84,22.33,41.75,11.43,56.95,296.41,12.02,100.67,9.29,9.65,579150.05
15.6,47921.71,134237.82,961.92,12198.17,119965.34,2144.17,396.93,26618.74,28.83,56.53,12.55,78.33,252.91,12.22,76.41,11.5,13.95,654987.87
15.9,53564.89,161897.87,933.46,10919.48,128038.51,2320.98,447.94,24287.93,25.05,42.55,12.9,71.56,261.18,13,114.66,8.45,12.45,605507.11
16.5,25858.69,163108.47,,6328.97,112642.82,1903.84,279.3,19667.27,23.54,27.29,5.53,47.08,245.43,11.47,78.14,7.51,10.45,669754.21
16.8,29375.43,153151.71,,7049.63,119668.65,2053.57,288.57,20703.02,,31.95,5.87,48.85,256.74,12.89,78.25,,9.73,667265.15
17.1,26742.75,161961.34,,6109.23,115839.68,2046.02,287.63,20819.4,,30.09,7.15,46.88,239.99,11.12,74.28,,9.98,665576.08
17.4,29034.97,149071.46,,6611.81,115855.01,1586.93,260.15,17150.89,,31.02,5.21,43.95,226.88,8.65,78.42,,9.11,680025.55
17.7,29317.95,162662.84,,6882.08,120515.48,2534.53,311.84,20258.11,,31.21,7.81,47.35,250.64,12.78,139.06,,8.16,656995.4
18,29692.62,142448.38,659.44,7903.89,132230.67,2501.4,335.07,21222.72,18.46,40.65,9.53,48.03,280.29,12.03,188.29,12.81,10.78,662358.96
18.6,58287.95,156458.54,2149.7,14887.42,121283.78,2782.86,571.44,33063.16,21.78,67.93,18.91,95.54,283.67,19.87,76.52,13.92,15.98,596497.38
18.9,57494.81,200793.96,509.02,12496.79,137233.51,3485.55,443.89,31073.8,25.17,53.21,7.27,76.36,285.8,26.48,202.88,13.87,16.6,555718.44
